programCode,education,health,social security,housing,nutrition,poverty
15S256,,,,1,,1
15S273,,,,1,,
15S274,,,,1,,
15S388,,,,,1,1
15S389,,,,,1,1
15S703,,,,,1,1
15U001,,,,1,1,1
15U002,,,,1,,1
15U004,,,,1,,
16E001,,,,1,,
16E002,,,,1,,
16E004,,1,,1,,
16G012,,,,,1,
16G014,,,,,1,
16K007,,1,,1,,
16K111,,,,,1,
16K131,,,,1,,
16K135,,,,,1,
16K141,,,,,1,
16K307,,1,,1,,
16S047,,1,,1,,
16S071,,,1,,1,1
16S074,,1,,1,,
16S075,,1,,1,,1
16S076,,,,,1,
16S077,,,,,1,
16S079,,,,,1,
16S080,,,,,1,1
16S081,,,,,1,
16S083,,,,,1,
16S122,,,,,,1
16S217,,,,,1,
16S218,,1,,1,,
16S374,,1,,1,,
16S375,,1,,1,,1
16U001,,1,,1,,
16U007,,1,,1,,
16U008,,1,,1,,
16U012,,,,1,,
16U028,,,,,1,
16U037,,,,1,,
18E016,,1,,,,
19J006,,,1,,,
19J007,,,1,,,
19J008,,,1,,,
19J009,,,1,,,
19J011,,,1,,,
19J012,,,1,,,
19J014,,,1,,,
19J017,,,1,,,
19J021,,,1,,,
19J022,,,1,,,
19J025,,,1,,,
19J026,,,1,,,
19J028,,,1,,,
19S038,,1,,,,1
19T001,,1,1,,,
19T002,,,1,,,
19T003,,1,1,,,
19T005,,,1,,,
19T006,,1,1,,,
19U001,,1,1,,,
19U002,,1,1,,,
20B004,,1,,,1,1
20E003,,1,,,,
20S017,,,,,1,1
20S052,,1,,,1,1
20S053,,1,,,1,1
20S054,,,,,1,1
20S057,,,,,1,1
20S058,,,,1,,
20S059,,,,1,,1
20S065,,,,,1,1
20S071,,,1,,1,1
20S072,1,,,,1,1
20S117,,,,1,,1
20S118,,1,,,1,1
20S174,1,,1,,,
20S175,,,,1,,
20S176,,,1,,,
20S213,,,,1,1,1
20S216,,,,1,,1
20S241,,,1,,,
20S279,,1,,,1,1
20S352,,1,,,1,1
20S353,,1,,,1,1
20S358,,,,1,,
20S417,,,,1,,1
20S716,,,,1,,1
20U005,,1,,,1,1
20U009,,1,,,1,1
23U031,,1,,,,
23U036,,,,1,,
23U053,1,,,,,
23U058,,,,1,,
23U083,,,,1,,
25E001,1,,,,,
25E003,1,,,,,
25E004,1,,,,,
25E016,1,,,,,1
25E029,1,,,,,
25E032,1,,,,,
25E033,1,,,,,
25E072,1,,,,,
25E073,1,,,,,
25E127,1,,,,,
25E128,1,,,,,
25E152,1,,,,,
25E221,1,,,,,1
25E222,1,,,,,
25E227,1,,,,,
25E244,1,,,,,
25E246,1,,,,,
25E247,1,,,,,
25E267,1,,,,,
25E270,1,,,,,
25E271,1,,,,,
25G002,1,,,,,
25K009,1,,,,,
25S027,1,,,,,
25S028,1,,,,,
25S033,1,,,,,
25S035,1,,,,,
25S108,1,,,,,1
25S127,1,,,,,
25S152,1,,,,,
25S156,1,,,,,
25S221,1,,,,,1
25S222,1,,,,,
25S223,1,,,,,
25S243,1,,,,,
25U001,1,,,,,
25U002,1,,,,,
25U016,1,,,,,1
25U030,1,,,,,
25U032,1,,,,,1
25U061,1,,,,,
25U065,1,,,,,
31E001,,,,1,1,1
31E002,,,,1,1,1
33I001,1,1,1,,,
33I002,,1,1,,,
33I003,,1,1,1,,1
33I004,,1,1,1,,1
33I005,,1,1,,,
33I006,,1,1,,1,1
33I007,1,1,1,,,
33I008,1,1,1,,,
33I009,1,1,1,,,1
33I010,1,1,1,,,1
33I011,,1,1,,,
33I012,,1,1,,,
33I013,1,1,1,,,
33I014,1,1,1,,,
33I015,1,1,1,,,
33I016,1,1,1,,,
33I017,,1,1,,,
33I018,,1,1,,,
33I019,,1,1,,,
33I020,,1,1,,,
33I021,,1,1,,,
33I022,,1,1,,,
33I023,,1,1,,,
33I024,,1,1,,,
33I025,,1,1,,,
33I026,,1,1,,,
33I027,,1,1,,,
33I028,,1,1,,,
33I029,,1,1,,,
33I030,,1,1,,,
33I031,,1,1,,,
33I032,,1,1,,,
33I101,1,,,,,
33I102,1,,,,,
33I103,1,,,,,
33I104,1,,,,,
33I105,1,,,,,
33I106,1,,,,,
33I107,1,,,,,
33I108,1,,,,,
33I110,1,,,,,
33I111,1,,,,,
33I112,1,,,,,
33I113,1,,,,,
33I114,1,,,,,
33I115,1,,,,,
33I116,1,,,,,
33I117,1,,,,,
33I118,1,,,,,
33I119,1,,,,,
33I120,1,,,,,
33I121,1,,,,,
33I122,1,,,,,
33I123,1,,,,,
33I124,1,,,,,
33I125,1,,,,,
33I126,1,,,,,
33I127,1,,,,,
33I128,1,,,,,
33I129,1,,,,,
33I130,1,,,,,
33I131,1,,,,,
33I132,1,,,,,
33I201,,1,1,,,
33I202,,1,1,,,
33I203,,1,1,,,
33I204,,1,1,,,
33I205,,1,1,,,
33I206,,1,1,,,
33I207,,1,1,,,
33I208,,1,1,,,
33I209,,1,1,,,
33I210,,1,1,,,
33I211,,1,1,,,
33I212,,1,1,,,
33I213,,1,1,,,
33I214,,1,1,,,
33I215,,1,1,,,
33I216,,1,1,,,
33I217,,1,1,,,
33I218,,1,1,,,
33I219,,1,1,,,
33I220,,1,1,,,
33I221,,1,1,,,
33I222,,1,1,,,
33I223,,1,1,,,
33I224,,1,1,,,
33I225,,1,1,,,
33I226,,1,1,,,
33I227,,1,1,,,
33I228,,1,1,,,
33I229,,1,1,,,
33I230,,1,1,,,
33I231,,1,1,,,
33I232,,1,1,,,
33I601,1,,,,,1
33I602,1,,,,,1
33I603,1,,,,,1
33I604,1,,,,,1
33I605,1,,,,,1
33I606,1,,,,,1
33I607,1,,,,,1
33I608,1,,,,,1
33I610,1,,,,,1
33I611,1,,,,,1
33I612,1,,,,,1
33I613,1,,,,,1
33I614,1,,,,,1
33I615,1,,,,,1
33I616,1,,,,,1
33I617,1,,,,,1
33I618,1,,,,,1
33I619,1,,,,,1
33I620,1,,,,,1
33I621,1,,,,,1
33I622,1,,,,,1
33I623,1,,,,,1
33I624,1,,,,,1
33I625,1,,,,,1
33I626,1,,,,,1
33I627,1,,,,,1
33I628,1,,,,,1
33I629,1,,,,,1
33I630,1,,,,,1
33I631,1,,,,,1
33I632,1,,,,,1
35E012,,1,,,,
38E901,1,,,,,
38K010,1,,,,,
38S192,1,,,,,
38S225,1,,,,,
38S236,1,,,,,
38U001,1,,,,,
38U002,1,,,,,
42E002,1,,,,,
42E003,1,,,,,
42E035,1,,,,,
47S178,1,,,,,1
48E016,1,,,,,
48E042,1,,,,,
48K027,1,,,,,
48S243,1,,,,,
50E001,,1,1,,,
50E002,,1,,,,
50E003,,,1,,,
50E004,,1,1,,,
50E005,,,1,,,
50E006,,,1,,,
50E007,1,,1,,,
50E008,,1,,,,
50E009,,,1,,,
50E010,,1,1,,,
50E011,,1,,,,
50E012,,,1,,,
50J001,,,1,,,
50J002,,,1,,,
50J003,,,1,,,
50J004,,1,1,,,
50K012,,1,1,,,
50K027,,1,,,,
50K028,,1,1,,,
50K029,,1,1,,,
50M001,,1,1,,,
51E001,,1,,,,
51E002,,1,,,,
51E003,,1,,,,
51E004,,1,,,,
51E005,,1,,,,
51E006,,1,,,1,1
51E007,,1,,,,
51E008,,1,,,1,1
51E009,,1,,,,
51E010,,1,1,,,
51E011,,1,,,,
51E012,,1,,,,
51E013,,1,1,,,
51E014,,,1,,,
51E015,,1,,,,
51E016,1,1,,,,
51E017,,1,,,,
51E018,,1,,,,
51E030,,,1,,,
51E031,,,1,,,
51E032,,,1,,,
51E033,,,1,,,
51E034,,,1,,,
51E035,,1,1,,,
51E036,,,1,,,
51E037,,,1,,,
51E038,1,,1,,,
51E039,,,1,,1,1
51E040,,1,,,,
51E041,,,1,,,
51E042,,,1,,,
51E043,,1,,,,
51E044,,1,,,,
51E045,,,1,,,
51J019,,,1,,,
51J021,,,1,,,
51J022,,,1,,,
51J023,,,1,,,
51J024,,,1,,,
51J025,,,1,,,
51J026,,,1,,,
51J027,,,1,,,
51J028,,,1,,,
51K011,,1,1,,,
51K027,,1,,,1,
51M002,,1,1,,,
52E013,,1,,,,
52J002,,,1,,,
52K011,,1,,,,
52K026,,1,1,,,
52K027,,1,1,,,
52K028,,1,1,,,
52K029,,1,1,,,
53J001,,,1,,,
63J202,,,1,,,
6E033,,,1,,,
6E035,1,,,,,
6F002,,,,,1,1
6F006,,,,,1,1
6F017,,,,,1,1
6F033,,,,,1,1
6F035,,,,,1,1
6F317,,,,,1,
6F852,,,,1,,
6G003,,,1,,,
6S001,,,,,1,1
6S172,,,,,1,1
6S177,,,,1,,
6S178,1,,,,,1
6S184,,,,,1,1
6S199,,,,,1,1
6S265,,,,,1,1
6S301,,,,,1,1
6S499,,,,,1,1
6U001,,,,1,,
6U010,,,,,1,1
7K014,,1,1,,,
8E001,1,,,,,
8E002,1,,,,,
8E003,1,,,,1,
8E005,,,,,1,
8E006,,,,,1,
8E009,,,,,1,
8E302,1,,,,,
8K009,1,,,,,
8K024,,,,,1,
8K026,,,,,1,
8K027,1,,,,1,
8K028,,,,,1,
8S088,,,,,1,1
8S089,,,,,1,1
8S161,,,,,1,1
8S170,,,,,1,1
8S173,,,,,1,1
8S198,,,,,1,
8S210,,,,,1,1
8S211,,,,,1,1
8S212,,,,,1,1
8S230,,,,,1,
8S231,,,,,1,1
8S232,,,,,1,
8S233,,,,,1,1
8S240,,,,,1,
8S257,,,,,1,
8S258,,,,,1,1
8S259,,,,,1,
8S260,,,,,1,
8S261,,,,,1,
8S262,,,,,1,
8S263,,,,,1,
8S266,,,,,1,1
8S470,,,,,1,1
8S498,,,,,1,
8U002,,,,,1,
8U007,,,,,1,
8U009,,,,,1,
8U010,,,,,1,
8U011,,1,,,1,
8U013,,,,,1,1
8U016,,,,,1,
8U020,,1,,,1,1
8U021,,,,,1,1
9E013,,,,1,,
9G001,,1,,,,
9G005,,,,1,,1
9G007,,,,1,,
9S071,,,1,,1,1
9S371,,,1,,1,1
